state,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021
Andaman and Nicobar Islands,6758,6789,6820,6844,6853,6878,6901,6917
Andhra Pradesh,1521142,1542079,1562060,1580827,1593821,1609105,1627390,1643557
Arunachal Pradesh,23159,23553,23867,24093,24573,25002,25376,25820
Assam,353574,359640,365620,369183,375404,381171,386870,392574
Bihar,676045,681199,685574,689576,692420,695726,698329,700897
Chandigarh,57331,57737,58129,58489,58734,58992,59216,59416
Chhattisgarh,936423,941366,945694,949000,953209,956715,959544,962368
Dadra and Nagar Haveli and Daman and Diu,9850,9880,9925,9987,10049,10092,10129,10152
Delhi,1409950,1412959,1415219,1416868,1418418,1419986,1421477,1422549
Goa,141567,143192,144839,146460,147861,149410,150897,152401
Gujarat,776220,780471,784676,788470,791657,794912,797997,800866
Haryana,722964,728607,733628,738028,741785,744602,747740,750062
Himachal Pradesh,172722,175384,177725,179034,180983,182982,184347,185819
Jammu and Kashmir,260057,263905,267313,270621,272858,275822,278859,281628
Jharkhand,324884,327035,329072,330417,331811,333058,334035,334730
Karnataka,2335524,2367742,2398925,2424904,2450215,2472973,2499784,2523998
Kerala,2263959,2293632,2322146,2347966,2365787,2395590,2424388,2448554
Ladakh,17025,17146,17277,17407,17532,17810,18045,18186
Lakshadweep,5756,6101,6418,6611,6847,7111,7229,7364
Madhya Pradesh,752735,757119,760963,764338,767274,769696,771878,773855
Maharashtra,5497448,5527092,5553225,5579897,5602019,5626155,5650907,5672180
Manipur,41909,42565,43322,44089,44627,45451,46298,47111
Meghalaya,26927,27755,28878,29681,30492,31449,32295,33104
Mizoram,9740,10024,10220,10333,10622,10937,11143,11382
Nagaland,19284,19593,19845,20068,20259,20535,20795,21023
Odisha,655899,668422,679530,692382,703441,714380,726003,732739
Puducherry,91465,93167,94612,96060,96982,98219,99540,100677
Punjab,523423,528676,533973,538994,543475,548231,552235,556089
Rajasthan,897193,903418,909521,916042,920456,923860,927746,931200
Sikkim,12204,12521,12808,13132,13233,13511,13806,14214
Tamil Nadu,1734804,1770988,1806861,1842344,1877211,1911496,1945260,1978621
Telangana,544263,547727,551035,553277,556320,560141,563903,567517
Tripura,44359,45223,46099,46525,47298,47965,48507,49290
Unknown,0,0,0,0,0,0,0,0
Uttar Pradesh,1651530,1659212,1665176,1669891,1673785,1677508,1680684,1683865
Uttarakhand,303940,307566,310469,313519,315590,318346,321337,323483
West Bengal,1209958,1229805,1248668,1267090,1284973,1301978,1318203,1331249