FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Andaman and Nicobar Islands,India,2021-05-27 04:20:59,11.225999,92.968178,6901,108,6573,220,"Andaman and Nicobar Islands, India",1654.773209027520,1.5649905810752100
,,Andhra Pradesh,India,2021-05-27 04:20:59,15.9129,79.74,1627390,10427,1424859,192104,"Andhra Pradesh, India",3019.0863866398900,0.6407191883936860
,,Arunachal Pradesh,India,2021-05-27 04:20:59,27.768456,96.384277,25376,107,21765,3504,"Arunachal Pradesh, India",1615.83436169576,0.42165825977301400
,,Assam,India,2021-05-27 04:20:59,26.357149,92.830441,386870,3005,329634,54231,"Assam, India",1086.4986555046000,0.7767467107814000
,,Bihar,India,2021-05-27 04:20:59,25.679658,85.60484,698329,4845,662491,30993,"Bihar, India",559.5588253794320,0.6937990546003390
,,Chandigarh,India,2021-05-27 04:20:59,30.733839,76.76827800000000,59216,722,54921,3573,"Chandigarh, India",5111.5563332075900,1.2192650634963500
,,Chhattisgarh,India,2021-05-27 04:20:59,21.264705,82.035366,959544,12779,893285,53480,"Chhattisgarh, India",3259.7379739274400,1.3317784280866700
,,Dadra and Nagar Haveli and Daman and Diu,India,2021-05-27 04:20:59,20.194742,73.080901,10129,4,9750,375,"Dadra and Nagar Haveli and Daman and Diu, India",1645.0552520285100,0.03949057162602430
,,Delhi,India,2021-05-27 04:20:59,28.646519,77.10898,1421477,23695,1378634,19148,"Delhi, India",7597.044122144280,1.6669281317953100
,,Goa,India,2021-05-27 04:20:59,15.359682,74.057396,150897,2499,132607,15791,"Goa, India",9512.813238770690,1.6560965426748000
,,Gujarat,India,2021-05-27 04:20:59,22.694884,71.590923,797997,9701,732748,55548,"Gujarat, India",1249.3612460054900,1.2156687305842000
,,Haryana,India,2021-05-27 04:20:59,29.20004,76.332824,747740,7841,708255,31644,"Haryana, India",2651.1191825813900,1.0486265279375200
,,Himachal Pradesh,India,2021-05-27 04:20:59,31.927213,77.233081,184347,2932,159234,22181,"Himachal Pradesh, India",2473.8072089807300,1.5904788252588900
,,Jammu and Kashmir,India,2021-05-27 04:20:59,33.75943,76.612638,278859,3702,231265,43892,"Jammu and Kashmir, India",2049.4814174589500,1.3275526341269200
,,Jharkhand,India,2021-05-27 04:20:59,23.654536,85.557631,334035,4910,314929,14196,"Jharkhand, India",865.5113490850950,1.469905848189560
,,Karnataka,India,2021-05-27 04:20:59,14.70518,76.166436,2499784,26929,2062910,409945,"Karnataka, India",3699.947630856480,1.077253074665650
,,Kerala,India,2021-05-27 04:20:59,10.450898,76.405749,2424388,7882,2167596,248910,"Kerala, India",6791.108757635240,0.3251129769657330
,,Ladakh,India,2021-05-27 04:20:59,34.1526,77.5771,18045,181,16200,1664,"Ladakh, India",6578.8274411296100,1.003047935716270
,,Lakshadweep,India,2021-05-27 04:20:59,13.6999972,72.18333260000000,7229,26,4956,2247,"Lakshadweep, India",11220.102748762200,0.3596624706045100
,,Madhya Pradesh,India,2021-05-27 04:20:59,23.541513,78.289633,771878,7758,720855,43265,"Madhya Pradesh, India",904.2729138058320,1.0050811138547800
,,Maharashtra,India,2021-05-27 04:20:59,19.449759,76.108221,5650907,91341,5241833,317733,"Maharashtra, India",4588.852698351920,1.6163953857318800
,,Manipur,India,2021-05-27 04:20:59,24.738975,93.882541,46298,730,38325,7243,"Manipur, India",1497.5683679196000,1.576741975895290
,,Meghalaya,India,2021-05-27 04:20:59,25.536934,91.278882,32295,512,23728,8055,"Meghalaya, India",959.2450790237350,1.5853847344790200
,,Mizoram,India,2021-05-27 04:20:59,23.309381,92.83822,11143,34,8292,2817,"Mizoram, India",899.1772403174840,0.3051242932782910
,,Nagaland,India,2021-05-27 04:20:59,26.06702,94.470302,20795,327,15545,4923,"Nagaland, India",924.3475226641830,1.5724933878336100
,,Odisha,India,2021-05-27 04:20:59,20.505428,84.418059,726003,2584,623628,99791,"Odisha, India",1566.1354929404000,0.35592139426421100
,,Puducherry,India,2021-05-27 04:20:59,11.882658,78.86498,99540,1435,83263,14842,"Puducherry, India",7041.8848537928100,1.4416315049226400
,,Punjab,India,2021-05-27 04:20:59,30.841465000000000,75.40879,552235,13827,487859,50549,"Punjab, India",1832.149451187910,2.5038253642018300
,,Rajasthan,India,2021-05-27 04:20:59,26.583423,73.847973,927746,8018,841602,78126,"Rajasthan, India",1144.9033858422200,0.8642451705531470
,,Sikkim,India,2021-05-27 04:20:59,27.571671,88.472712,13806,239,10145,3422,"Sikkim, India",2000.1419773386800,1.7311313921483400
,,Tamil Nadu,India,2021-05-27 04:20:59,11.006091,78.400624,1945260,21815,1613221,310224,"Tamil Nadu, India",2499.008655653050,1.1214439200929400
,,Telangana,India,2021-05-27 04:20:59,18.1124,79.0193,563903,3189,522082,38632,"Telangana, India",1432.5809499198400,0.5655227938138300
,,Tripura,India,2021-05-27 04:20:59,23.746783,91.743565,48507,479,40557,7471,"Tripura, India",1163.294877396820,0.9874863421774180
,,Unknown,India,2021-05-27 04:20:59,,,0,0,0,0,"Unknown, India",,
,,Uttar Pradesh,India,2021-05-27 04:20:59,26.925425,80.560982,1680684,19712,1598701,62271,"Uttar Pradesh, India",706.5178860718030,1.172855813466420
,,Uttarakhand,India,2021-05-27 04:20:59,30.156447,79.197608,321337,6113,271704,43520,"Uttarakhand, India",2856.111062818500,1.9023641846410500
,,West Bengal,India,2021-05-27 04:20:59,23.814082,87.979803,1318203,14827,1179999,123377,"West Bengal, India",1323.3733800948300,1.1247888223589200